"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",1.99646983885863,15.9130693668868,15.9130693668868
"comp 2",1.36967703089103,10.9171524550859,26.8302218219727
"comp 3",0.419338679481978,3.34238232150318,30.1726041434758
"comp 4",0.331334445229329,2.64093546917169,32.8135396126475
"comp 5",0.325810694047397,2.59690783899534,35.4104474516429
"comp 6",0.305396739638872,2.43419630374819,37.8446437553911
"comp 7",0.282707996587543,2.25335333031781,40.0979970857089
"comp 8",0.27733675173521,2.21054126761689,42.3085383533258
"comp 9",0.268384171041176,2.13918379713376,44.4477221504595
"comp 10",0.254775219826816,2.03071224376008,46.4784343942196
"comp 11",0.242568394686648,1.93341648129768,48.4118508755173
"comp 12",0.236219579328852,1.88281259176238,50.2946634672796
"comp 13",0.229442147981915,1.82879237414928,52.1234558414289
"comp 14",0.217008568457592,1.72968924241233,53.8531450838413
"comp 15",0.212537536076102,1.69405241632889,55.5471975001701
"comp 16",0.207408943870679,1.65317444165033,57.2003719418205
"comp 17",0.199796091910117,1.59249541761983,58.7928673594403
"comp 18",0.191814028029384,1.52887355178806,60.3217409112284
"comp 19",0.186260660385257,1.48460986053624,61.8063507717646
"comp 20",0.179887033363233,1.43380820706468,63.2401589788293
"comp 21",0.176679311789465,1.40824073045195,64.6483997092813
"comp 22",0.176108889570081,1.40369412114747,66.0520938304287
"comp 23",0.168740417908202,1.3449629555665,67.3970567859952
"comp 24",0.161986365003024,1.29112907824173,68.6881858642369
"comp 25",0.151264353441326,1.20566817599669,69.8938540402336
"comp 26",0.149904029476549,1.19482557312255,71.0886796133562
"comp 27",0.146498224410094,1.16767925154147,72.2563588648977
"comp 28",0.140125320696187,1.11688336327207,73.3732422281697
"comp 29",0.13605471869054,1.08443820892008,74.4576804370898
"comp 30",0.132883924294325,1.05916506419582,75.5168455012856
"comp 31",0.127891734333573,1.01937429771795,76.5362197990036
"comp 32",0.125537200152238,1.00060723947093,77.5368270384745
"comp 33",0.12135383259835,0.967263275652143,78.5040903141267
"comp 34",0.117521156222019,0.936714532139819,79.4408048462665
"comp 35",0.111395892070301,0.887892480616857,80.3286973268833
"comp 36",0.109035082038891,0.869075400057635,81.197772726941
"comp 37",0.10440722081443,0.832188553458796,82.0299612803998
"comp 38",0.100750363216104,0.803041191703386,82.8330024721031
"comp 39",0.0944631327081366,0.752928170584021,83.5859306426872
"comp 40",0.0926802695000044,0.738717674962962,84.3246483176501
"comp 41",0.0907751842431419,0.723532995859762,85.0481813135099
"comp 42",0.0845942975306218,0.67426759896229,85.7224489124722
"comp 43",0.0816196087663845,0.65055753446301,86.3730064469352
"comp 44",0.0790686868202715,0.630225147222331,87.0032315941575
"comp 45",0.0773144274279157,0.616242641273716,87.6194742354312
"comp 46",0.0767859791966912,0.61203058998368,88.2315048254149
"comp 47",0.0740015395602256,0.589836925836808,88.8213417512517
"comp 48",0.071462152569953,0.569596479154839,89.3909382304066
"comp 49",0.067846628385501,0.540778569650264,89.9317168000568
"comp 50",0.0640310955660555,0.510366470631438,90.4420832706883
"comp 51",0.0623610364014005,0.497055091307444,90.9391383619957
"comp 52",0.0595135569105784,0.474358961480537,91.4134973234762
"comp 53",0.0588080659376939,0.468735772704672,91.8822330961809
"comp 54",0.0556034752130116,0.443193250848442,92.3254263470294
"comp 55",0.0538244192740377,0.429013101460035,92.7544394484894
"comp 56",0.0516710271122886,0.411849266486393,93.1662887149758
"comp 57",0.0496642674403311,0.395854180940404,93.5621428959162
"comp 58",0.0460439617341904,0.366998159822605,93.9291410557388
"comp 59",0.0447170910170363,0.356422199519075,94.2855632552579
"comp 60",0.0434753763673074,0.346524984459562,94.6320882397174
"comp 61",0.0411315972784206,0.327843650789409,94.9599318905069
"comp 62",0.0401557809941779,0.32006580615672,95.2799976966636
"comp 63",0.0380638518423832,0.303391868461697,95.5833895651253
"comp 64",0.0362264567674148,0.288746720955204,95.8721362860805
"comp 65",0.0334435182025632,0.266565021254905,96.1387013073354
"comp 66",0.0322061780731614,0.256702673762163,96.3954039810975
"comp 67",0.0293585535301748,0.234005387781974,96.6294093688795
"comp 68",0.0285052773508378,0.227204261731072,96.8566136306106
"comp 69",0.0271199255873891,0.21616217219873,97.0727758028093
"comp 70",0.0257370736501249,0.205140007789575,97.2779158105989
"comp 71",0.0245809030010189,0.195924630035759,97.4738404406346
