"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"BMI",0.67344661118787,-0.272934671408914,-0.0156187566203605,0.207172482450387,-0.244149266782536
"waist",0.540343911777681,-0.463064888615776,-0.190351063538551,0.123118162615492,0.247303099029676
"glucose",0.545974987676068,-0.433968163232996,0.160485709454699,0.164731028121424,-0.0882412797074756
"insulin",0.583214318778396,-0.32095525036125,-0.0646861109392676,0.266464584064315,0.337490138224082
"triglycerides",0.548633239748021,-0.372473790730621,0.145285424993132,-0.115921102901805,0.117918853565586
"HDL",-0.63368597515529,0.216903477837092,-0.119726070475976,0.314806591630302,-0.0422481747626071
"systolic_BP",0.546113159856738,-0.3539726014438,-0.0885924610315414,-0.0700021328923863,0.0462342120804937
"CRP",0.559228574998072,-0.319555791078314,0.32274292901062,0.156121102517575,-0.141638689419251
"met_01",0.397253008825846,-0.118553384170563,0.00101721228313893,-0.213993696241926,0.139428737540701
"met_02",0.486628941507283,-0.154818492172939,-0.065393179407917,0.235766385388041,-0.11788692256741
"met_03",0.309384768267937,-0.218769842965542,-0.0919572811697582,-0.44078746488638,-0.422830812459979
"met_04",0.286713237414215,-0.306037880844573,-0.127353072178996,-0.0659880285994744,0.155931020824312
"met_05",0.530747640680397,-0.309595524921007,-0.0475636844517347,0.0112968248051746,0.203965206878352
"met_06",0.291079494263714,-0.137997888452283,-0.0555875323344885,-0.235256212889156,-0.00235928068913424
"met_07",0.401104618752016,-0.188304391068475,-0.354049779592729,0.0712941063302457,0.0935704992749763
"met_08",0.358989937106353,-0.22001500535965,-0.0757895815883927,0.345571427826295,-0.313589771087757
"met_09",0.467203551074379,-0.336716013072922,-0.0756888369803416,-0.00172915747654443,-0.12882563330207
"met_10",0.3645604113135,-0.20931154114587,-0.0792398451692528,0.0316186372437882,0.292485872413517
"met_11",0.281237409105528,-0.293717232981584,-0.278268054643991,0.217518182099103,0.118881541825684
"met_12",0.423379316693946,-0.405715898964448,-0.0442207792399969,-0.125245695769207,0.108151883967702
"met_13",0.381502566537767,-0.159918749749234,-0.111446967991724,-0.0412720662501347,0.199455467821188
"met_14",0.234276022885989,-0.28644395973931,0.0172958384387798,-0.0982069638536648,0.0725191926055345
"met_15",0.291310455943054,-0.283722540629012,-0.11553260503649,-0.164965284820667,-0.0793692196404457
"met_16",-0.497396113967484,0.176428424129816,0.130877201543837,0.0831492347405388,0.237177198137258
"met_17",-0.382640975673627,0.230944281823605,0.124502517928047,0.298674664116369,0.0327802239147764
"met_18",-0.380541641593859,0.188709654110777,-0.215381731911273,0.0270409532436304,-0.048247798061708
"met_19",-0.505522594435113,0.294581977582347,0.0521803363717052,0.244607293566226,0.168371359278049
"met_20",-0.45286234391413,0.193897237214206,0.0881357248864026,-0.00368506718394256,-0.0488914009351596
"met_21",-0.472626931949664,0.132796191743629,0.0981841719469924,0.0887276418607309,0.234172615529392
"met_22",-0.295766586884332,0.219931691021015,0.0272773901110845,-0.287005090755843,0.153141133986599
"met_23",-0.323797127009768,0.0277237362209864,0.25625390651501,0.0492231392629096,0.0392201344070596
"met_24",-0.350354941564061,0.235833682462796,0.0235706540239876,0.182666969096835,-0.0737208332957183
"met_25",-0.439178424898037,0.176892620232663,0.361753953029545,0.195739748933072,0.0402732684178542
"met_26",0.239020119719445,0.353099186145212,-0.145723349062124,0.0830786376083204,0.0862972212937026
"met_27",0.277816564844905,0.311911307496704,-0.0579514248539584,0.184604478062426,0.134646474975888
"met_28",0.328674625894143,0.364747123075674,-0.0508965929889291,-0.0356630671689847,-0.127957763248099
"met_29",0.413627089796863,0.100688035436956,0.0482867723634646,0.0713532784324778,-0.0112419117491182
"met_30",0.0110206739018662,0.283387844442332,0.0558566917438805,0.0234389334372243,0.315761251786525
"met_31",0.338165651618067,0.30929778804206,-0.0778959983221107,0.0315176267844319,0.223626805442905
"met_32",0.264545974690403,0.510678322725675,-0.10245258984714,0.0209783440992614,-0.317872803674639
"met_33",0.39591879150154,0.350853610215071,0.0734078868301481,-0.14826602948825,0.0652857656203361
"met_34",0.237503986429976,0.601021948604725,0.0721027915066863,0.204399207140109,0.064953619699
"met_35",0.325758776289442,0.313480821678219,-0.0419470903283806,0.182385425228939,0.0469358398937671
"met_36",0.218110131473061,0.46703976280869,0.270589200687842,0.0197386128163906,0.00718812603704801
"met_37",0.313793719624778,0.516705379211598,0.0711405050777141,-0.0615815694912073,-0.0759928249176081
"met_38",0.335899573690778,0.339281074465327,0.0450005701905361,-0.0766106026878626,0.328556446026619
"met_39",0.0777000417146626,0.275004118570417,0.148910163851564,0.0022247345906394,0.27934858510247
"met_40",0.41005591622222,0.35968911870963,0.0671449935495711,-0.0937943379363852,0.105684348070791
"met_41",0.321902113410499,0.0816760600575811,-0.121107617524461,0.19245947936033,-0.319893737555588
"met_42",0.385112664134396,0.0262694338703707,-0.113631959050875,-0.199943509006491,0.181253106453005
"met_43",0.417667773111536,0.209559414394679,-0.117720957975738,0.078953653716767,0.151404953556645
"met_44",0.387283723729095,0.060412533552601,-0.0305774508852132,-0.293811422230072,0.0145277378525587
"met_45",0.376336837736423,0.00456377102569209,-0.332086452561165,0.309642622793235,-0.251638656247364
"met_46",0.327565563468618,0.0850702859215011,0.123019223009324,-0.0424203332088543,-0.0378297228392805
"met_47",0.390124534418966,0.0326917251655263,-0.213404369450581,0.20946277524467,-0.22039054631163
"met_48",0.29703276914432,0.122623942001727,-0.0473658158117131,-0.203761390477192,0.193961021040666
