"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"BMI",0.424906529714679,0.0687619017879633,1.74785434601824e-05,0.119447575509184,0.0356134449971244
"waist",0.256537506169084,0.212563036181267,0.0566337601966703,1.98414989805501e-07,0.112509389418791
"glucose",0.26815336718308,0.187270059639161,0.0309875162849923,0.0355847328490219,9.32066425385127e-05
"insulin",0.337343596657454,0.108705044450564,0.0102338185161882,0.0241844550433807,0.158308825183396
"triglycerides",0.26667641842849,0.13315412608294,0.0287195976403093,0.0534860227469735,0.00883589770201761
"HDL",0.368190742734933,0.0402307235481814,0.00937442377537107,0.142015420479149,0.00772374687058748
"systolic_BP",0.263336050761319,0.119165951169709,0.00743412109649139,0.00551347234609356,0.000687402905425415
"CRP",0.264973162084954,0.0873136211140405,0.188145059442194,0.046942519134286,0.00576596856228486
"met_01",0.154308667312888,0.0143866425258622,0.000367969513243055,0.0684913054069879,0.00221845263688857
"met_02",0.232055276652205,0.0248997747937302,0.0053605999418226,0.0499682423905973,0.000167702209847491
"met_03",0.0926908874993223,0.0480958783793459,0.00683319522048333,0.0655800236862935,0.279467256288256
"met_04",0.0798388123695073,0.0961264367602005,0.0218071678314417,0.015175965743368,0.0154473354575245
"met_05",0.274300073699732,0.0988157787473039,0.0050074978068249,0.00625763711837953,0.0416391024532756
"met_06",0.0844515577738404,0.0200283856207953,0.0038061288103004,0.0309259758370835,0.0164877691194507
"met_07",0.155293431768755,0.0363224658839175,0.122767832998974,0.00225238516776314,0.0103539314398122
"met_08",0.125282486419566,0.0489847456581783,0.0044172671451905,0.164214238428329,0.0230947037036808
"met_09",0.213334431977724,0.116017793286524,0.00737450056671894,0.0013731405225672,0.0152590417590224
"met_10",0.130665851375099,0.0454397091358038,0.00614919078221843,0.00060603500975857,0.0530019630439343
"met_11",0.0734446740686936,0.0850501745533971,0.0789804373076378,0.0318460898911256,0.0213283807783129
"met_12",0.172245295753117,0.166603532712646,0.00453650146462812,0.0276836586463095,0.00161673836243311
"met_13",0.144330254129704,0.0275484031977757,0.0131079963145143,0.0116415088605487,0.0216232441841092
"met_14",0.0524378109690706,0.0833094817155083,0.000278151401725152,0.00875837389062776,0.00028979092391417
"met_15",0.0809992914817233,0.0800832735449566,0.0146837113515951,0.00516206729881496,0.0392500072471362
"met_16",0.239923902103988,0.0308589667762854,0.0189604969175487,0.00318599894664157,0.0733348581449396
"met_17",0.14043478425692,0.0532877958440848,0.024980445969494,0.0557627056658887,0.0281892096597071
"met_18",0.144929028976352,0.0373469591772014,0.0364438474743052,0.000904549023896866,0.000413217783446109
"met_19",0.249386782691997,0.0886275113142143,0.00443752069695155,0.0326104499308355,0.0538454715710966
"met_20",0.202263554312643,0.0393595059217436,0.0140772863810075,7.87004154367403e-05,0.00135553221890751
"met_21",0.21866617675664,0.0183659633669013,0.00753730445936552,0.00132555900696996,0.0610908798066715
"met_22",0.0862548382699135,0.0502853679309519,0.000469394608485779,0.0642301128349124,0.000174683808984016
"met_23",0.103626390418478,0.000869663169940398,0.0465889141148944,0.00168098881761957,0.0169038023305896
"met_24",0.119590244051661,0.0565585018651395,0.00119375573044818,0.0272195095164442,0.000222183058883412
"met_25",0.18619039174493,0.0314753287603926,0.139212844930268,0.0227981390799837,0.0192481859907932
"met_26",0.0592061413355824,0.122319378631457,0.0188059454679399,0.00308827127177902,0.00709979684326826
